mid,Model type,Publication,Population,Drug,Disease,PMID,Training data Reference,Training data,Program/code
M219,pop-PK,"Caceres Guido P, Perez M, Halac A, Ferrari M, Ibarra M, Licciardone N, Castaños C, Gravina LP, Jimenez C, Garcia Bournissen F, Schaiquevich P. Population pharmacokinetics of amikacin in patients with pediatric cystic fibrosis. Pediatr Pulmonol. 2019 Nov;54(11):1801-1810. doi: 10.1002/ppul.24468. Epub 2019 Aug 12. PMID: 31402602.",Pediatric Patients,amikacin,cystic fibrosis,31402602,"We conducted a prospective PK study in pediatric patients with CF receiving amikacin for the treatment of lung infection or colonization with known or suspected gram‐negative bacteria.Patients were recruited from a clinical ward at Hospital de Pediatria JP Garrahan, Buenos Aires (Argentina) and were eligible for inclusion if they were less than 18 years old, diagnosed with CF, and received amikacin according to the usual treatment criteria for acute or chronic CF lung infection at our hospital.",measured,NA
M220,pop-PK,"Takeuchi M, Yano I, Ito S, Sugimoto M, Yamamoto S, Yonezawa A, Ikeda A, Matsubara K. Population Pharmacokinetics of Topiramate in Japanese Pediatric and Adult Patients With Epilepsy Using Routinely Monitored Data. Ther Drug Monit. 2017 Apr;39(2):124-131. doi: 10.1097/FTD.0000000000000383. PMID: 28230619.",Pediatric and Adult Patients,Topiramate,Epilepsy,28230619,Japanese inpatients and outpatients with epilepsy whose steady-state serum topiramate concentrations were measured at Kyoto University Hospital from April 2012 to March 2013 were included in the model-building data used to develop a PPK model of topiramate.,measured,NA
M221,pop-PK,"Sano Y, Shoji S, Shahin M, Sweeney K, Darekar A, Malhotra BK. Population Pharmacokinetic and Pharmacodynamic Modeling of Fesoterodine in Pediatric Patients with Neurogenic Detrusor Overactivity. Eur J Drug Metab Pharmacokinet. 2023 May;48(3):257-269. doi: 10.1007/s13318-023-00818-8. Epub 2023 Mar 9. PMID: 36892754; PMCID: PMC10175358.",Pediatric Patients,Fesoterodine,Neurogenic Detrusor Overactivity,36892754,"Study 1066 This was an 8-week, open-label, dose-escalating, uncontrolled phase II study (ClinicalTrials.gov: NCT00857896) to evaluate the pharmacokinetics, safety and tolerability of fesoterodine in pediatric OAB patients aged 8–17 years, with approximately 50% of the population to include patients with NDO [10]. 
Study 1047 This was a 24-week, open-label, randomized phase III study (ClinicalTrials.gov: NCT01557244) to evaluate the efficacy, safety and pharmacokinetics of fesoterodine in patients aged 6–17 years with symptoms of NDO [11].",https://clinicaltrials.gov/study/NCT00857896https://clinicaltrials.gov/study/NCT01557244,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10175358/bin/13318_2023_818_MOESM1_ESM.pdf
M222,pop-PK,"Ikawa K, Morikawa N, Ikeda K, Miki M, Kobayashi M. Population pharmacokinetics and pharmacodynamics of meropenem in Japanese pediatric patients. J Infect Chemother. 2010 Apr;16(2):139-43. doi: 10.1007/s10156-009-0025-0. Epub 2010 Jan 22. PMID: 20094749.",Pediatric Patients,meropenem,bacterial infections,20094749,Meropenem PK data were extracted from nine reports on separate studies [4–12],NA,NA
M223,pop-PK,"de Wildt SN, de Hoog M, Vinks AA, van der Giesen E, van den Anker JN. Population pharmacokinetics and metabolism of midazolam in pediatric intensive care patients. Crit Care Med. 2003 Jul;31(7):1952-8. doi: 10.1097/01.ccm.0000084806.15352.da. PMID: 12847388.",Pediatric Patients,midazolam,intensive care,12847388,"Children were recruited from the Pediatric Intensive Care Unit of Sophia Children’s Hospital, Rotterdam, The Netherlands, between May 1999 and April 2000. ",measured,NA
M224,pop-PK,"Yuan J, Zhang B, Xu Y, Zhang X, Song J, Zhou W, Hu K, Zhu D, Zhang L, Shao F, Zhang S, Ding J, Zhu C. Population Pharmacokinetics of Lithium in Young Pediatric Patients With Intellectual Disability. Front Pharmacol. 2021 Apr 15;12:650298. doi: 10.3389/fphar.2021.650298. PMID: 33935755; PMCID: PMC8082156.",Pediatric Patients,Lithium,Intellectual Disability,33935755,"Young children aged 4–10 years old with intellectual disability according to the Diagnostic and Statistical Manual of Mental Disorders, Fifth edition were deemed eligible for this study (Papazoglou et al., 2014).",https://meridian.allenpress.com/idd/article-abstract/52/3/165/1603/To-ID-or-Not-to-ID-Changes-in-Classification-Rates,NA
M225,pop-PK,"Sasaki T, Svensson EM, Wang X, Wang Y, Hafkin J, Karlsson MO, Mallikaarjun S. Population Pharmacokinetic and Concentration-QTc Analysis of Delamanid in Pediatric Participants with Multidrug-Resistant Tuberculosis. Antimicrob Agents Chemother. 2022 Feb 15;66(2):e0160821. doi: 10.1128/AAC.01608-21. Epub 2021 Nov 29. PMID: 34843388; PMCID: PMC8846319.",Pediatric Patients,Delamanid,Multidrug-Resistant Tuberculosis,34843388,"Per the PIP, 3 clinical trials were conducted: a pharmacokinetic (PK) trial (trial 232 [ClinicalTrials.gov identifier NCT01856634]) in children <18 years of age with MDR-TB who were on therapy with OBR, followed by a 6-month safety and tolerability extension trial (trial 233 [ClinicalTrials.gov identifier NCT01859923]) in the same subject population","https://clinicaltrials.gov/study/NCT01856634
https://clinicaltrials.gov/study/NCT01859923",NA
M226,pop-PK,"de Oliveira Henz P, Pinhatti AV, Gregianin LJ, Martins M, Curra M, de Araújo BV, Dalla Costa T. Population Pharmacokinetic Model of Methotrexate in Brazilian Pediatric Patients with Acute Lymphoblastic Leukemia. Pharm Res. 2023 Jul;40(7):1777-1787. doi: 10.1007/s11095-023-03544-7. Epub 2023 Jun 8. PMID: 37291462.",Pediatric Patients,Methotrexate,Acute Lymphoblastic Leukemia,37291462,"Methods
Study Population
This study was approved by the HCPA Ethics in Human Research Committee (HCPA 4.260.110) and involved retrospective data of 45 pediatric patients diagnosed with ALL who were treated with MTX by the Pediatric Oncology Service between January 2015 and December 2019.",measured,NA
M227,pop-PK,"Alsultan A, Abouelkheir M, Alqahtani S, Aljabri A, Somily AM, Alsubaie S, Alrabiaah A, Bukhari E, Alzamil F. Optimizing Vancomycin Monitoring in Pediatric Patients. Pediatr Infect Dis J. 2018 Sep;37(9):880-885. doi: 10.1097/INF.0000000000001943. Erratum in: Pediatr Infect Dis J. 2020 Jan;39(1):e13. PMID: 29461449.",Pediatric Patients,Vancomycin,gram-positive bacterial infections,29461449,"Data were retrospectively extracted from medical records of pediatric patients aged 1–12 years, who were admitted to the general wards or ICU at King Saud University Medical City in Riyadh, Saudi Arabia and received vancomycin for suspected or proven methicillin-resistant Staphylococcus aureus (MRSA) infection over the period from January 1st, 2014 to December 31st, 2016.",measured,NA
M228,pop-PK,"Moffett BS, Lee-Kim Y, Galati M, Mahoney D, Shah MD, Teruya J, Yee D. Population Pharmacokinetics of Enoxaparin in Pediatric Patients. Ann Pharmacother. 2018 Feb;52(2):140-146. doi: 10.1177/1060028017734234. Epub 2017 Sep 29. PMID: 28962537.",Pediatric Patients,Enoxaparin,thromboembolism,28962537,"A retrospective cohort study design was chosen, and institutional review board approval from Baylor College of Medicine and Affiliated Institutions was obtained.",measured,NA
M229,pop-PK,"Wrishko RE, Levine M, Khoo D, Abbott P, Hamilton D. Vancomycin pharmacokinetics and Bayesian estimation in pediatric patients. Ther Drug Monit. 2000 Oct;22(5):522-31. doi: 10.1097/00007691-200010000-00004. PMID: 11034256.",Pediatric Patients,Vancomycin,gram-positive bacterial infections,11034256,The study sample consisted of six pediatric patients admitted to British Columbia’s Children’s and Women’s Health Centre and prescribed vancomycin by their attending physicians.,measured,NA
M230,pop-PK,"Arrieta AC, Ang JY, Zhang Z, Larson KB, Yu B, Johnson MG, Rhee EG, Feng EH, Rizk ML. Plasma pharmacokinetics of ceftolozane/tazobactam in pediatric patients with cystic fibrosis. Pediatr Pulmonol. 2020 Aug;55(8):2025-2032. doi: 10.1002/ppul.24815. Epub 2020 May 18. PMID: 32421928.",Pediatric Patients,ceftolozane/tazobactam,cystic fibrosis,32421928,"This study was an exploratory, retrospective subgroup analysis of protocol MK‐7625A‐010, which was a noncomparative, interventional, open‐label, multicenter phase 1 study to characterize the PK, safety, and tolerability of single IV doses of ceftolozane/tazobactam in pediatric patients (birth [7 days postnatal] to <18 years) receiving standard of care antibiotic therapy for proven or suspected Gram‐negative infections or for perioperative prophylaxis.6",https://clinicaltrials.gov/study/NCT02266706,NA
M231,pop-PK,"Wang E, DuBois SG, Wetmore C, Khosravan R. Population pharmacokinetics-pharmacodynamics of sunitinib in pediatric patients with solid tumors. Cancer Chemother Pharmacol. 2020 Aug;86(2):181-192. doi: 10.1007/s00280-020-04106-z. Epub 2020 Jul 4. PMID: 32623479; PMCID: PMC7417410.",Pediatric Patients,sunitinib,refractory solid tumors,32623479,"Data were pooled from two Phase I/II clinical trials in pediatric patients with solid tumors (studies ADVL0612 and ACNS1021), including predominantly high-grade glioma, ependymoma, brain stem glioma, or sarcoma. Details of these trials have been published previously [8–10].","https://aacrjournals.org/clincancerres/article/17/15/5113/76401/Phase-I-and-Pharmacokinetic-Study-of-Sunitinib-in
https://dx.doi.org/10.1007/s00280-011-1798-2
https://onlinelibrary.wiley.com/doi/10.1002/cam4.713",NA
M232,pop-PK,"Thompson PA, Gupta M, Rosner GL, Yu A, Barrett J, Bomgaars L, Bernstein ML, Blaney SM, Mondick J. Pharmacokinetics of irinotecan and its metabolites in pediatric cancer patients: a report from the children's oncology group. Cancer Chemother Pharmacol. 2008 Nov;62(6):1027-37. doi: 10.1007/s00280-008-0692-z. Epub 2008 Feb 16. PMID: 18278496.",Pediatric Patients,irinotecan,cancer,18278496,"We used pharmacokinetic data from a multicenter single agent phase II Pediatric Oncology Group (POG) Trial, POG 9761, of irinotecan to develop the population analysis. We subsequently evaluated the resultant model using data from two smaller POG trials, POG 9571 and POG 9971.",measured,NA
M233,pop-PK,"Macpherson M, Hamrén B, Braamskamp MJ, Kastelein JJ, Lundström T, Martin PD. Population pharmacokinetics of rosuvastatin in pediatric patients with heterozygous familial hypercholesterolemia. Eur J Clin Pharmacol. 2016 Jan;72(1):19-27. doi: 10.1007/s00228-015-1946-4. Epub 2015 Sep 21. PMID: 26387811.",pediatric patients,rosuvastatin,heterozygous familial hypercholesterolemia,26387811,"Supplemental Table 1. Clinical studies Involved in model building and validation and summary of individual study PK results
CHARON study
CHARON was a phase 3, open-label, multicenter study assessing PK, efficacy, and long-term safety of rosuvastatin in children and adolescents (aged ≥6 to <18 years) with HeFH.
Study 4522IL/0086
This study was performed as a precursor to studying the longterm efficacy and safety of rosuvastatin in the pediatric population and included children aged ≥10 to <18 years with HeFH.",measured,NA
M234,pop-PK,"Chung E, Tjon JA, Nemec RM, Nalli N, Harvey EA, Licht C, Seto W. Pharmacokinetics of Vancomycin in Pediatric Patients Receiving Intermittent Hemodialysis or Hemodiafiltration. Kidney Int Rep. 2021 Feb 6;6(4):1003-1014. doi: 10.1016/j.ekir.2021.01.037. PMID: 33912750; PMCID: PMC8071675.",pediatric patients,Vancomycin,hemodialysis (HD) or hemodiafiltration (HDF)-related infections,33912750,"Potential patients were identified from reports generated by the electronic pharmacy system version 9.2.36.33 (BDM IT Solutions, Inc, Saskatoon, SK, Canada) and screened for inclusion using electronic health information systems, including KidCare release 6.0 (Allscripts Sunrise Enterprise, Richmond, BC, Canada), Nephrology Data Warehouse (SickKids, Toronto, ON, Canada), and electronic patient charts.",measured,NA
M235,pop-PK,"Antachopoulos C, Geladari A, Landersdorfer CB, Volakli E, Ilia S, Gikas E, Gika H, Sdougka M, Nation RL, Roilides E. Population Pharmacokinetics and Outcomes of Critically Ill Pediatric Patients Treated with Intravenous Colistin at Higher Than Recommended Doses. Antimicrob Agents Chemother. 2021 May 18;65(6):e00002-21. doi: 10.1128/AAC.00002-21. Erratum in: Antimicrob Agents Chemother. 2023 Feb 16;67(2):e0168522. PMID: 33782000; PMCID: PMC8316147.",pediatric patients,Colistin,Gram-negative bacterial infection,33782000,"A total of 17 patients (6 female) were studied, aged from 3 months to 13.75 years (median age, 3.3 years). Fourteen of these patients were hospitalized in pediatric intensive care units (PICU) and 3 in neurosurgical and pediatric oncology units.",measured,NA
M236,pop-PK,"Habib DM, Padbury JF, Anas NG, Perkin RM, Minegar C. Dobutamine pharmacokinetics and pharmacodynamics in pediatric intensive care patients. Crit Care Med. 1992 May;20(5):601-8. doi: 10.1097/00003246-199205000-00010. PMID: 1572184.",pediatric patients,Dobutamine,intensive care,1572184,"All study subiects were patients in thepediatric ICU at Children's Hospital ofOrange Countyin Orange, CA.",measured,NA
M237,pop-PK,"Kim EH, Choi BM, Kang P, Lee JH, Kim HS, Jang YE, Ji SH, Noh GJ, Cho JY, Kim JT. Pharmacokinetics of dexmedetomidine in pediatric patients undergoing cardiac surgery with cardiopulmonary bypass. Paediatr Anaesth. 2023 Apr;33(4):303-311. doi: 10.1111/pan.14626. Epub 2023 Jan 16. PMID: 36594749.",Pediatric Patients,dexmedetomidine,cardiopulmonary bypass,36594749,"This study was registered prior to pa-tient enrollment at the Clini   calTr   ials.gov (NCT02888275, Principal investigator: Jin-Tae Kim, date of registration: August 30, 2016).",https://clinicaltrials.gov/study/NCT02888275,NA
M238,pop-PK,"Payen S, Serreau R, Munck A, Aujard Y, Aigrain Y, Bressolle F, Jacqz-Aigrain E. Population pharmacokinetics of ciprofloxacin in pediatric and adolescent patients with acute infections. Antimicrob Agents Chemother. 2003 Oct;47(10):3170-8. doi: 10.1128/AAC.47.10.3170-3178.2003. PMID: 14506027; PMCID: PMC201120.",Pediatric and Adolescent Patients,Ciprofloxacin,Acute Infections,14506027,"They were admitted to the Gastroenterology or Nephrology Unit, the Department of Neonatology, or the Department of Pediatric Surgery of Robert Debré Hospital (Paris, France). ",measured,NA
M239,pop-PK,"Cohen-Barak O, Radivojevic A, Jones A, Fiedler-Kelly J, Gillespie M, Brennan M, Gutman D, Rasamoelisolo M, Hallak H, Loupe P, Kessler Y, Ning X, Levi M, Ahn AH, Rabinovich-Guilatt L. Dose selection for fremanezumab (AJOVY) phase 3 pediatric migraine studies using pharmacokinetic data from a pediatric phase 1 study and a population pharmacokinetic modeling and simulation approach. Cephalalgia. 2021 Sep;41(10):1065-1074. doi: 10.1177/03331024211007789. Epub 2021 May 17. PMID: 34000848.",Pediatric Patients,fremanezumab,migraine,34000848,Phase 1 study of pediatric patients-The study registration number is EudraCT number 2018-000734-35.,https://www.clinicaltrialsregister.eu/ctr-search/search?query=2018-000734-35,NA
M240,pop-PK,"Zhao W, Fakhoury M, Baudouin V, Storme T, Maisin A, Deschênes G, Jacqz-Aigrain E. Population pharmacokinetics and pharmacogenetics of once daily prolonged-release formulation of tacrolimus in pediatric and adolescent kidney transplant recipients. Eur J Clin Pharmacol. 2013 Feb;69(2):189-95. doi: 10.1007/s00228-012-1330-6. Epub 2012 Jun 17. PMID: 22706623.",Pediatric and Adolescent Patients,tacrolimus,myelosuppression of kidney trans-plantation,22706623,Pediatric kidney transplant recipients from the department of pediatric nephrology in Robert Debré Hospital were included between 2009 and 2011. The pharmacokinetic data were obtained according to the local clinical practice.,measured,NA
M241,pop-PK,"Ghoneim RH, Thabit AK, Lashkar MO, Ali AS. Optimizing gentamicin dosing in different pediatric age groups using population pharmacokinetics and Monte Carlo simulation. Ital J Pediatr. 2021 Aug 6;47(1):167. doi: 10.1186/s13052-021-01114-4. PMID: 34362436; PMCID: PMC8343923.",Pediatric Patients,gentamicin,Gram-negative infections,34362436,"Plasma concentration data were obtained from a retrospective chart review of non-critically ill pediatric patients admitted to King Abdulaziz University Hospital, Jeddah, Saudi Arabia from February 2015 to November 2015.",measured,NA
M242,pop-PK,"Savic RM, Ruslami R, Hibma JE, Hesseling A, Ramachandran G, Ganiem AR, Swaminathan S, McIlleron H, Gupta A, Thakur K, van Crevel R, Aarnoutse R, Dooley KE. Pediatric tuberculous meningitis: Model-based approach to determining optimal doses of the anti-tuberculosis drugs rifampin and levofloxacin for children. Clin Pharmacol Ther. 2015 Dec;98(6):622-9. doi: 10.1002/cpt.202. Epub 2015 Oct 22. PMID: 26260983; PMCID: PMC4888594.",Adult and Pediatric Population,rifampin/levofloxacin,tuberculous meningitis,26260983,"Raw data from 53 individuals in the adult TBM trial and 23 children in the pediatric levofloxacin PK study and literature-derived information about levofloxacin PK targets, rifampin disposition in children, and kidney maturation in young children were included in the models (9,15,19).","https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(12)70264-5/abstract
https://journals.asm.org/doi/full/10.1128/aac.00064-11
https://journals.asm.org/doi/full/10.1128/aac.00667-09",NA
M243,pop-PK,"Marachelian A, Desai A, Balis F, Katzenstein H, Qayed M, Armstrong M, Neville KA, Cohn SL, Bush M, Gunawan R, Lim AP, Smith MA, Smith LM. Comparative pharmacokinetics, safety, and tolerability of two sources of ch14.18 in pediatric patients with high-risk neuroblastoma following myeloablative therapy. Cancer Chemother Pharmacol. 2016 Feb;77(2):405-12. doi: 10.1007/s00280-015-2955-9. Epub 2016 Jan 20. PMID: 26791869; PMCID: PMC4747995.",Pediatric Patients,Dinutuximab,disialoganglioside,26791869,"Study DIV-NB-201 was a phase 2 randomized, open-label, two-sequence crossover trial evaluating ch14.18 in patients with high-risk neuroblastoma scheduled to receive immunotherapy.",measured,NA
M244,pop-PK,"Moffett BS, Morris J, Galati M, Munoz FM, Arikan AA. Population Pharmacokinetic Analysis of Gentamicin in Pediatric Extracorporeal Membrane Oxygenation. Ther Drug Monit. 2018 Oct;40(5):581-588. doi: 10.1097/FTD.0000000000000547. PMID: 29957666.",Pediatric Patients,Gentamicin,gram-positive and gram-negative bacterial infections,29957666,"Institutional review board approval was obtained through Baylor College of Medicine and Affiliated Institutions. Patients who received intravenous gentamicin and had serum gentamicin concentrations sampled from January 1, 2011, to June 30, 2017, at our institution were queried from the hospital electronic medical record system. Patients were cross-referenced by querying ECMO data from the electronic medical record to determine who had received gentamicin while undergoing ECMO therapy.",measured,NA
M245,pop-PK,"Strawn JR, Poweleit EA, Ramsey LB. CYP2C19-Guided Escitalopram and Sertraline Dosing in Pediatric Patients: A Pharmacokinetic Modeling Study. J Child Adolesc Psychopharmacol. 2019 Jun;29(5):340-347. doi: 10.1089/cap.2018.0160. Epub 2019 Feb 28. PMID: 30817183; PMCID: PMC6585169.",Pediatric Patients,Escitalopram/Sertraline,anxiety and depressive disorders,30817183,Pediatric PK data from the FDA registration of escitalopram was fitted with the model to ensure accuracy.,NA,NA
M246,pop-PK,"Winkler J, Schoemaker R, Stockis A. Population Pharmacokinetics of Adjunctive Lacosamide in Pediatric Patients With Epilepsy. J Clin Pharmacol. 2019 Apr;59(4):541-547. doi: 10.1002/jcph.1340. Epub 2018 Nov 14. PMID: 30427550.",Pediatric Patients,Lacosamide,Epilepsy,30427550,"Two early-phase clinical studies (SP0847, clinicaltrials.gov identifier: NCT00938431; SP1047, EudraCT number: 2014-002629-36) have been completed in pediatric patients with epilepsy (1 month to 17 years of age).",measured,NA
M247,pop-PK,"Kawakatsu S, Nikanjam M, Lin M, Le S, Saunders I, Kuo DJ, Capparelli EV. Population pharmacokinetic analysis of high-dose methotrexate in pediatric and adult oncology patients. Cancer Chemother Pharmacol. 2019 Dec;84(6):1339-1348. doi: 10.1007/s00280-019-03966-4. Epub 2019 Oct 4. PMID: 31586225.",Pediatric and Adult Patients,methotrexate,cancer,31586225,"The MTX dataset represented all adult and pediatric oncology patients treated with intravenous HD-MTX with MTX dosing information and concentrations measured as part of standard of care oncology treatment from Jan 1, 2009 through Jan 1, 2017 at the University of California, San Diego Health and Rady Children’s Hospital San Diego (RCHSD).",measured,NA
M248,pop-PK,"Moffett BS, Morris J, Galati M, Munoz F, Arikan AA. Population Pharmacokinetics of Vancomycin in Pediatric Extracorporeal Membrane Oxygenation. Pediatr Crit Care Med. 2018 Oct;19(10):973-980. doi: 10.1097/PCC.0000000000001682. PMID: 30063652.",Pediatric Patients,Vancomycin,bacterial infections,30063652,"The study was approved by the Baylor College of Medicine Institutional Review Board. A retrospective descriptive population pharmacokinetic study was designed, and patients were identified by querying the hospital pharmacy system from January 1, 2011, to June 30, 2017.",measured,NA
M249,pop-PK,"Retout S, Schmitt C, Petry C, Mercier F, Frey N. Population Pharmacokinetic Analysis and Exploratory Exposure-Bleeding Rate Relationship of Emicizumab in Adult and Pediatric Persons with Hemophilia A. Clin Pharmacokinet. 2020 Dec;59(12):1611-1625. doi: 10.1007/s40262-020-00904-z. PMID: 32504271; PMCID: PMC7717049.","pediatric, adolescent, or adult patients",Emicizumab,Hemophilia A,32504271,"The popPK analysis population consisted of 389 pediatric, adolescent, or adult PwHA with or without inhibitors against FVIII who were participants in one of five clinical studies (a phase I/II study or four phase III: HAVEN 1–4; Table 1).","Table 1 Characteristics of the clinical studies included in the population pharmacokinetic (PK) database(https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7717049/table/Tab1/?report=objectonly)
1.https://clinicaltrials.gov/study/NCT02622321
2.https://clinicaltrials.gov/study/NCT02795767
3.https://clinicaltrials.gov/study/NCT02847637
4.https://clinicaltrials.gov/study/NCT03020160
5.JapicCTI-121934 and JapicCTI-132195


",NA
M250,pop-PK,"Medellin-Garibay SE, Hernández-Villa N, Correa-González LC, Morales-Barragán MN, Valero-Rivera KP, Reséndiz-Galván JE, Ortiz-Zamudio JJ, Milán-Segovia RDC, Romano-Moreno S. Population pharmacokinetics of methotrexate in Mexican pediatric patients with acute lymphoblastic leukemia. Cancer Chemother Pharmacol. 2020 Jan;85(1):21-31. doi: 10.1007/s00280-019-03977-1. Epub 2019 Oct 31. PMID: 31673826.",Pediatric Patients,methotrexate,acute lymphoblastic leukemia,31673826,"A prospective study was developed in patients from Pediatric Hemato-Oncology Service of Hospital Central “Dr. Ignacio Morones Prieto” (HCIMP) from San Luis Potosí, México, between August 2016 and December 2018. Written informed consent for the collection of samples and subsequent analysis was signed by parents or tutor of each patient, according to the protocol approved by Research and Ethics Committee from HCIMP (Register 71–16) and Ethics Committee from Chemical Sciences Faculty in Universidad Autónoma de San Luis Potosi, Mexico (Register CEID2016087-S)",measured,NA
M251,pop-PK,"Cuffari C, Pierce D, Korczowski B, Fyderek K, Van Heusen H, Hossack S, Wan H, Edwards AY, Martin P. Randomized clinical trial: pharmacokinetics and safety of multimatrix mesalamine for treatment of pediatric ulcerative colitis. Drug Des Devel Ther. 2016 Feb 4;10:593-607. doi: 10.2147/DDDT.S95316. PMID: 26893546; PMCID: PMC4745832.",Pediatric Patients,multimatrix mesalamine,ulcerative colitis,26893546,"This Phase I, multicenter, randomized, open-label, three-arm study was conducted in 12 sites across three countries (United States, Poland, and Slovakia)…..Further details are available at https://clinicaltrials.gov/ct2/show/NCT01130844. All authors had access to the study data, and reviewed and approved the final manuscript.",https://clinicaltrials.gov/study/NCT01130844,NA
M252,pop-PK,"Tsuda Y, Matsuo Y, Matsumoto S, Wajima T. Population pharmacokinetic and exposure-response analyses of guanfacine in Japanese pediatric ADHD patients. Drug Metab Pharmacokinet. 2019 Dec;34(6):365-371. doi: 10.1016/j.dmpk.2019.07.001. Epub 2019 Jul 4. PMID: 31563330.",Pediatric Patients,guanfacine,attention-deficit/hyperactivity disorder (ADHD),31563330,"2.1. Data for analysis
The dataset for the population pharmacokinetic analysis included pharmacokinetic data of guanfacine and patient background information from three studies in the US (one Phase 1 study and two Phase 2 studies [8]) and two studies in Japan (Phase 2/3 study and its extension study [6], [7]).","https://www.sciencedirect.com/science/article/pii/S1347436719300175?via%3Dihub#bib8
https://www.sciencedirect.com/science/article/pii/S1347436719300175?via%3Dihub#bib6
https://www.sciencedirect.com/science/article/pii/S1347436719300175?via%3Dihub#bib7",NA
M253,pop-PK,"Huang L, Liu Y, Jiao Z, Wang J, Fang L, Mao J. Population pharmacokinetic study of tacrolimus in pediatric patients with primary nephrotic syndrome: A comparison of linear and nonlinear Michaelis-Menten pharmacokinetic model. Eur J Pharm Sci. 2020 Feb 15;143:105199. doi: 10.1016/j.ejps.2019.105199. Epub 2019 Dec 18. PMID: 31862313.",Pediatric Patients,tacrolimus,primary nephrotic syndrome,31862313,"2.1. Patients and clinic data collection
The concentrations of TAC in children with PNS were collected retrospectively from the medical records of the Children's Hospital, Zhejiang University School of Medicine, China, from April 2011 to July 2017…..The research passed the ethical review of the study hospital, and is registered in the Chinese Clinical Trial Registry (http://www.chictr.org.cn)(ID number: ChiCTR1900022943).",https://trialsearch.who.int/?TrialID=ChiCTR1900022943,NA
M254,pop-PK,"Marsot A, Gallais F, Galambrun C, Coze C, Blin O, Andre N, Guilhaumou R. Vancomycin in Pediatric Patients with Solid or Hematological Malignant Disease: Predictive Performance of a Population Pharmacokinetic Model and New Optimized Dosing Regimens. Paediatr Drugs. 2018 Aug;20(4):375-381. doi: 10.1007/s40272-018-0295-z. PMID: 29736878.",Pediatric Patients,Vancomycin,Solid or Hematological Malignant Disease,29736878,"Pediatric patients with solid or hematological malignancies admitted to the Hematology and Oncology Pediatric Unit of the Timone University Hospital (Marseille, France) and treated with vancomycin for febrile neutropenia were considered for inclusion.",measured,NA
M255,pop-PK,"Randell RL, Balevic SJ, Greenberg RG, Cohen-Wolkowiez M, Thompson EJ, Venkatachalam S, Smith MJ, Bendel C, Bliss JM, Chaaban H, Chhabra R, Dammann CEL, Downey LC, Hornik C, Hussain N, Laughon MM, Lavery A, Moya F, Saxonhouse M, Sokol GM, Trembath A, Weitkamp J-H, Hornik CP; Best Pharmaceuticals for Children Act – Pediatric Trials Network Steering Committee. Opportunistic dried blood spot sampling validates and optimizes a pediatric population pharmacokinetic model of metronidazole. Antimicrob Agents Chemother. 2024 Apr 3;68(4):e0153323. doi: 10.1128/aac.01533-23. Epub 2024 Mar 14. PMID: 38477706; PMCID: PMC10994817.",Pediatric Patients,metronidazole,intraabdominal infection,38477706,"We externally evaluated a previously published popPK model of metronidazole in
critically ill preterm infants with gestational age (GA) ≤31 weeks and suspected intraabdominal infection, initially developed with data from the Metronidazole Pharmacokinetics in the Premature Infants (PTN_METRO, NCT01222585) study (9).",https://classic.clinicaltrials.gov/ct2/show/NCT01222585,NA
M256,pop-PK,"Zhao W, Elie V, Roussey G, Brochard K, Niaudet P, Leroy V, Loirat C, Cochat P, Cloarec S, André JL, Garaix F, Bensman A, Fakhoury M, Jacqz-Aigrain E. Population pharmacokinetics and pharmacogenetics of tacrolimus in de novo pediatric kidney transplant recipients. Clin Pharmacol Ther. 2009 Dec;86(6):609-18. doi: 10.1038/clpt.2009.210. Epub 2009 Oct 28. PMID: 19865079.",Pediatric Patients,tacrolimus,allograft rejection in solid organ transplantation,19865079,"Fifty pediatric kidney transplant patients, comprising 29 boys and 21 girls, were enrolled.",measured,NA
M257,pop-PK,"Moser BA, LaBell ES, Chigutsa E, Jakubowski JA, Small DS. Population Pharmacokinetic and Exposure-Response Analyses of Prasugrel in Pediatric Patients with Sickle Cell Anemia. Clin Pharmacokinet. 2018 Feb;57(2):243-254. doi: 10.1007/s40262-017-0556-y. PMID: 28578536.",Pediatric Patients,Prasugrel,Sickle Cell Anemia,28578536,"2.1 Study Design
Study TACX was a phase II, open-label, multicenter, dose-ranging study in pediatric patients with SCA. 
Study TADO was a phase III, double-blind, randomized, parallel-group, multinational, efficacy and safety comparison of prasugrel and placebo once daily for 9–24 months in pediatric patients with SCA. 
2.2 Participants
Details pertaining to the study population have been published previously [12, 17]","https://journals.lww.com/jpho-online/abstract/2015/01000/prasugrel_in_children_with_sickle_cell_disease_.1.aspx
https://onlinelibrary.wiley.com/doi/10.1002/pbc.25771",NA
