PMID,Specimen type,Value,Unit,Time to specimen,Time unit,summary statistics,Variation type,variation value,Interval type,Interval low,Interval high,Subjects n,Population,Pregnancy Stage ,Gestational Age,Notes,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at
19452377,Blood,1-2,ml,,,,,,,,,20,maternal,delivery,,at birth,PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,50,2025-12-02T16:05:21.693926
19452377,cord venous blood,1-2,ml,,,,,,,,,20,pediatric,,fetus,at birth,PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,51,2025-12-02T16:05:21.693926
19452377,blood,0.3,ml,3.0,days,,,,,,,20,pediatric,,neonate,on day 3,PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,52,2025-12-02T16:05:21.693926
12709723.0,Blood,5,ml,,,,,,,,,11.0,maternal,pregnancy,,Blood samples were drawn just before the mothers took their daily fluoxetine dose (trough concentration),PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,195,2025-12-02T16:05:06.614238
12709723.0,Blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,196,2025-12-02T16:05:06.614238
12709723.0,umbilical vein blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,197,2025-12-02T16:05:06.614238
12709723.0,umbilical artery blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,198,2025-12-02T16:05:06.614238
12709723.0,Blood,,,,,,,,,,,11.0,maternal,postpartum,,"On postpartum days 2 and 4, venous blood samples were drawn from the mother and the infant (1-2 mL) just before the mother took her daily dose of fluoxetine. ",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,199,2025-12-02T16:05:06.614238
12709723.0,Blood,1-2,ml,,,,,,,,,10.0,pediatric,,infants,,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,200,2025-12-02T16:05:06.614238
12709723.0,breast milk,15,ml,,,,,,,,,11.0,maternal,postpartum,,"On the morning of postpartum day 4, a breast milk samples were collected immediately before a feeding and before the mothers took their daily dose of fluoxetine",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,201,2025-12-02T16:05:06.614238
12709723.0,Blood,5,ml,,,,,,,,,11.0,maternal,pregnancy,,Blood samples were drawn just before the mothers took their daily fluoxetine dose (trough concentration),PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,195,2025-12-02T16:05:06.769793
12709723.0,Blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,196,2025-12-02T16:05:06.769793
12709723.0,umbilical vein blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,197,2025-12-02T16:05:06.769793
12709723.0,umbilical artery blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,198,2025-12-02T16:05:06.769793
12709723.0,Blood,,,,,,,,,,,11.0,maternal,postpartum,,"On postpartum days 2 and 4, venous blood samples were drawn from the mother and the infant (1-2 mL) just before the mother took her daily dose of fluoxetine. ",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,199,2025-12-02T16:05:06.769793
12709723.0,Blood,1-2,ml,,,,,,,,,10.0,pediatric,,infants,,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,200,2025-12-02T16:05:06.769793
12709723.0,breast milk,15,ml,,,,,,,,,11.0,maternal,postpartum,,"On the morning of postpartum day 4, a breast milk samples were collected immediately before a feeding and before the mothers took their daily dose of fluoxetine",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,201,2025-12-02T16:05:06.769793
12709723.0,Blood,5,ml,,,,,,,,,11.0,maternal,pregnancy,,Blood samples were drawn just before the mothers took their daily fluoxetine dose (trough concentration),PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,195,2025-12-02T16:05:11.297067
12709723.0,Blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,196,2025-12-02T16:05:11.297067
12709723.0,umbilical vein blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,197,2025-12-02T16:05:11.297067
12709723.0,umbilical artery blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,198,2025-12-02T16:05:11.297067
12709723.0,Blood,,,,,,,,,,,11.0,maternal,postpartum,,"On postpartum days 2 and 4, venous blood samples were drawn from the mother and the infant (1-2 mL) just before the mother took her daily dose of fluoxetine. ",PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,199,2025-12-02T16:05:11.297067
12709723.0,Blood,1-2,ml,,,,,,,,,10.0,pediatric,,infants,,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,200,2025-12-02T16:05:11.297067
12709723.0,breast milk,15,ml,,,,,,,,,11.0,maternal,postpartum,,"On the morning of postpartum day 4, a breast milk samples were collected immediately before a feeding and before the mothers took their daily dose of fluoxetine",PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,201,2025-12-02T16:05:11.297067
12709723.0,Blood,5,ml,,,,,,,,,11.0,maternal,pregnancy,,Blood samples were drawn just before the mothers took their daily fluoxetine dose (trough concentration),PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,195,2025-12-02T16:05:13.141371
12709723.0,Blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,196,2025-12-02T16:05:13.141371
12709723.0,umbilical vein blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,197,2025-12-02T16:05:13.141371
12709723.0,umbilical artery blood,5,ml,,,,,,,,,11.0,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,198,2025-12-02T16:05:13.141371
12709723.0,Blood,,,,,,,,,,,11.0,maternal,postpartum,,"On postpartum days 2 and 4, venous blood samples were drawn from the mother and the infant (1-2 mL) just before the mother took her daily dose of fluoxetine. ",PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,199,2025-12-02T16:05:13.141371
12709723.0,Blood,1-2,ml,,,,,,,,,10.0,pediatric,,infants,,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,200,2025-12-02T16:05:13.141371
12709723.0,breast milk,15,ml,,,,,,,,,11.0,maternal,postpartum,,"On the morning of postpartum day 4, a breast milk samples were collected immediately before a feeding and before the mothers took their daily dose of fluoxetine",PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,201,2025-12-02T16:05:13.141371
12709723,Blood,5,ml,,,,,,,,,11,maternal,pregnancy,,Blood samples were drawn just before the mothers took their daily fluoxetine dose (trough concentration),PRGLAC_PK_curation_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,195,2025-12-02T16:05:15.285876
12709723,Blood,5,ml,,,,,,,,,11,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,196,2025-12-02T16:05:15.285876
12709723,umbilical vein blood,5,ml,,,,,,,,,11,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,197,2025-12-02T16:05:15.285876
12709723,umbilical artery blood,5,ml,,,,,,,,,11,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,198,2025-12-02T16:05:15.285876
12709723,Blood,,,,,,,,,,,11,maternal,postpartum,,"On postpartum days 2 and 4, venous blood samples were drawn from the mother and the infant (1-2 mL) just before the mother took her daily dose of fluoxetine. ",PRGLAC_PK_curation_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,199,2025-12-02T16:05:15.285876
12709723,Blood,1-2,ml,,,,,,,,,10,pediatric,,infants,,PRGLAC_PK_curation_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,200,2025-12-02T16:05:15.285876
12709723,breast milk,15,ml,,,,,,,,,11,maternal,postpartum,,"On the morning of postpartum day 4, a breast milk samples were collected immediately before a feeding and before the mothers took their daily dose of fluoxetine",PRGLAC_PK_curation_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,201,2025-12-02T16:05:15.285876
12709723,Blood,5,ml,,,,,,,,,11,maternal,pregnancy,,Blood samples were drawn just before the mothers took their daily fluoxetine dose (trough concentration),PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,195,2025-12-02T16:05:21.693926
12709723,Blood,5,ml,,,,,,,,,11,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,196,2025-12-02T16:05:21.693926
12709723,umbilical vein blood,5,ml,,,,,,,,,11,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,197,2025-12-02T16:05:21.693926
12709723,umbilical artery blood,5,ml,,,,,,,,,11,maternal,delivery,,before the umbilical cord was cut,PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,198,2025-12-02T16:05:21.693926
12709723,Blood,,,,,,,,,,,11,maternal,postpartum,,"On postpartum days 2 and 4, venous blood samples were drawn from the mother and the infant (1-2 mL) just before the mother took her daily dose of fluoxetine. ",PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,199,2025-12-02T16:05:21.693926
12709723,Blood,1-2,ml,,,,,,,,,10,pediatric,,infants,,PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,200,2025-12-02T16:05:21.693926
12709723,breast milk,15,ml,,,,,,,,,11,maternal,postpartum,,"On the morning of postpartum day 4, a breast milk samples were collected immediately before a feeding and before the mothers took their daily dose of fluoxetine",PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,201,2025-12-02T16:05:21.693926
27528039.0,blood,,,,,,,,,,,28.0,maternal,pregnancy/postpartum,,"Serial blood samples were collected prior to dosing (0 hours) and at 0.5, 1, 1.5, 2, 3, 4, 6, 8, and up to 10, 12, and 24 hours, depending on the respective dosing intervals",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,389,2025-12-02T16:05:06.614238
27528039.0,urine,,,,,,,,,,,28.0,maternal,pregnancy/postpartum,,Urine samples were collected within the same dose interval as the blood samples,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,390,2025-12-02T16:05:06.614238
27528039.0,blood,,,,,,,,,,,28.0,maternal,pregnancy/postpartum,,"Serial blood samples were collected prior to dosing (0 hours) and at 0.5, 1, 1.5, 2, 3, 4, 6, 8, and up to 10, 12, and 24 hours, depending on the respective dosing intervals",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,389,2025-12-02T16:05:06.769793
27528039.0,urine,,,,,,,,,,,28.0,maternal,pregnancy/postpartum,,Urine samples were collected within the same dose interval as the blood samples,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,390,2025-12-02T16:05:06.769793
27528039.0,blood,,,,,,,,,,,28.0,maternal,pregnancy/postpartum,,"Serial blood samples were collected prior to dosing (0 hours) and at 0.5, 1, 1.5, 2, 3, 4, 6, 8, and up to 10, 12, and 24 hours, depending on the respective dosing intervals",PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,389,2025-12-02T16:05:11.297067
27528039.0,urine,,,,,,,,,,,28.0,maternal,pregnancy/postpartum,,Urine samples were collected within the same dose interval as the blood samples,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,390,2025-12-02T16:05:11.297067
27528039.0,blood,,,,,,,,,,,28.0,maternal,pregnancy/postpartum,,"Serial blood samples were collected prior to dosing (0 hours) and at 0.5, 1, 1.5, 2, 3, 4, 6, 8, and up to 10, 12, and 24 hours, depending on the respective dosing intervals",PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,389,2025-12-02T16:05:13.141371
27528039.0,urine,,,,,,,,,,,28.0,maternal,pregnancy/postpartum,,Urine samples were collected within the same dose interval as the blood samples,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,390,2025-12-02T16:05:13.141371
33253437.0,blood,,,,,,,,,,,55.0,maternal,pregnancy,the third trimester,Blood samples for plasma dosages were taken approximately 12 h after the last SSRI/SNRI administration ,PK Curation_BPCA_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,285,2025-12-02T16:03:33.395135
33253437.0,umbilical blood,,,,,,,,,,,55.0,maternal,delivery,,,PK Curation_BPCA_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,286,2025-12-02T16:03:33.395135
33253437.0,blood,,,,,,,,,,,7.0,maternal,delivery,,,PK Curation_BPCA_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,311,2025-12-02T16:03:33.395135
33253437.0,blood,,,,,,,,,,,7.0,neonate,,,at birth,PK Curation_BPCA_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,312,2025-12-02T16:03:33.395135
33253437.0,Blood,,,12,h,,,,,,,20.0,maternal,third trimester,,"Maternal blood samples were obtained from venous samples, collected by the mother in the third trimester of pregnancy from the 26th week of gestation onwards. Blood samples for plasma dosages were taken approximately 12 h after the last SSRI/SNRI administration",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,35,2025-12-02T16:05:06.614238
33253437.0,blood,,,,,,,,,,,20.0,pediatric,,neonate,,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,36,2025-12-02T16:05:06.614238
33253437.0,umbilical blood,,,,,,,,,,,20.0,pediatric,,fetus,,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,37,2025-12-02T16:05:06.614238
33253437.0,Blood,,,,,,,,,,,20.0,maternal,delivery,,,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,38,2025-12-02T16:05:06.614238
33253437.0,Blood,,,12,h,,,,,,,20.0,maternal,third trimester,,"Maternal blood samples were obtained from venous samples, collected by the mother in the third trimester of pregnancy from the 26th week of gestation onwards. Blood samples for plasma dosages were taken approximately 12 h after the last SSRI/SNRI administration",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,35,2025-12-02T16:05:06.769793
33253437.0,blood,,,,,,,,,,,20.0,pediatric,,neonate,,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,36,2025-12-02T16:05:06.769793
33253437.0,umbilical blood,,,,,,,,,,,20.0,pediatric,,fetus,,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,37,2025-12-02T16:05:06.769793
33253437.0,Blood,,,,,,,,,,,20.0,maternal,delivery,,,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,38,2025-12-02T16:05:06.769793
33253437.0,Blood,,,12,h,,,,,,,20.0,maternal,third trimester,,"Maternal blood samples were obtained from venous samples, collected by the mother in the third trimester of pregnancy from the 26th week of gestation onwards. Blood samples for plasma dosages were taken approximately 12 h after the last SSRI/SNRI administration",PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,35,2025-12-02T16:05:11.297067
33253437.0,blood,,,,,,,,,,,20.0,pediatric,,neonate,,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,36,2025-12-02T16:05:11.297067
33253437.0,umbilical blood,,,,,,,,,,,20.0,pediatric,,fetus,,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,37,2025-12-02T16:05:11.297067
33253437.0,Blood,,,,,,,,,,,20.0,maternal,delivery,,,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,38,2025-12-02T16:05:11.297067
33253437.0,Blood,,,12,h,,,,,,,20.0,maternal,third trimester,,"Maternal blood samples were obtained from venous samples, collected by the mother in the third trimester of pregnancy from the 26th week of gestation onwards. Blood samples for plasma dosages were taken approximately 12 h after the last SSRI/SNRI administration",PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,35,2025-12-02T16:05:13.141371
33253437.0,blood,,,,,,,,,,,20.0,pediatric,,neonate,,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,36,2025-12-02T16:05:13.141371
33253437.0,umbilical blood,,,,,,,,,,,20.0,pediatric,,fetus,,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,37,2025-12-02T16:05:13.141371
33253437.0,Blood,,,,,,,,,,,20.0,maternal,delivery,,,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,38,2025-12-02T16:05:13.141371
33253437,Blood,,,12.0,h,,,,,,,20,maternal,third trimester,,"Maternal blood samples were obtained from venous samples, collected by the mother in the third trimester of pregnancy from the 26th week of gestation onwards. Blood samples for plasma dosages were taken approximately 12 h after the last SSRI/SNRI administration",PRGLAC_PK_curation_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,35,2025-12-02T16:05:15.285876
33253437,blood,,,,,,,,,,,20,pediatric,,neonate,,PRGLAC_PK_curation_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,36,2025-12-02T16:05:15.285876
33253437,umbilical blood,,,,,,,,,,,20,pediatric,,fetus,,PRGLAC_PK_curation_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,37,2025-12-02T16:05:15.285876
33253437,Blood,,,,,,,,,,,20,maternal,delivery,,,PRGLAC_PK_curation_Cleaned.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,38,2025-12-02T16:05:15.285876
33253437,Blood,,,12.0,h,,,,,,,20,maternal,third trimester,,"Maternal blood samples were obtained from venous samples, collected by the mother in the third trimester of pregnancy from the 26th week of gestation onwards. Blood samples for plasma dosages were taken approximately 12 h after the last SSRI/SNRI administration",PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,35,2025-12-02T16:05:21.693926
33253437,blood,,,,,,,,,,,20,pediatric,,neonate,,PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,36,2025-12-02T16:05:21.693926
33253437,umbilical blood,,,,,,,,,,,20,pediatric,,fetus,,PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,37,2025-12-02T16:05:21.693926
33253437,Blood,,,,,,,,,,,20,maternal,delivery,,,PRGLAC_PK_curation_SZ_By 91124.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,38,2025-12-02T16:05:21.693926
12860776,venous blood samples,5,mL,before intake (trough),,,,,,,,20.0,SSRI group,3rd tri,36-38 wks,,PRGLAC Data Curation - Sara's Team (1).xlsx,IU team,Specimen (summary),Specimen_summary,33,2025-12-02T15:58:24.333700
12860776,venous blood samples,5,mL,before intake (trough),,,,,,,,20.0,control group,3rd tri,36-38 wks,,PRGLAC Data Curation - Sara's Team (1).xlsx,IU team,Specimen (summary),Specimen_summary,34,2025-12-02T15:58:24.333700
12860776,umbilical vein blood sample,5,mL,,,,,,,,,20.0,SSRI group,delivery ,,samples could not be obtained or were destroyed due to warming in 3 patients; sample volume in 2 patients was sufficient for the measurement of prolactin only.,PRGLAC Data Curation - Sara's Team (1).xlsx,IU team,Specimen (summary),Specimen_summary,35,2025-12-02T15:58:24.333700
12860776,umbilical vein blood sample,5,mL,,,,,,,,,20.0,control group,delivery ,,samples could not be obtained or were destroyed due to warming in 2 patients,PRGLAC Data Curation - Sara's Team (1).xlsx,IU team,Specimen (summary),Specimen_summary,36,2025-12-02T15:58:24.333700
12860776,infant blood sample,2,mL,,,,,,,,,20.0,SSRI group,postpartum,2 days,,PRGLAC Data Curation - Sara's Team (1).xlsx,IU team,Specimen (summary),Specimen_summary,37,2025-12-02T15:58:24.333700
12860776,infant blood sample,2,mL,,,,,,,,,20.0,control group,postpartum,2 days,,PRGLAC Data Curation - Sara's Team (1).xlsx,IU team,Specimen (summary),Specimen_summary,38,2025-12-02T15:58:24.333700
12860776,infant blood sample,2,mL,,,,,,,,,20.0,SSRI group,postpartum,2 weeks,,PRGLAC Data Curation - Sara's Team (1).xlsx,IU team,Specimen (summary),Specimen_summary,39,2025-12-02T15:58:24.333700
12860776,infant blood sample,2,mL,,,,,,,,,20.0,control group,postpartum,2 weeks,,PRGLAC Data Curation - Sara's Team (1).xlsx,IU team,Specimen (summary),Specimen_summary,40,2025-12-02T15:58:24.333700
30346625.0,blood,,,,,,,,,,,9.0,maternal,third trimester,,serial blood samples were collected from time 0 to 672 hours after administration of the drug,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,216,2025-12-02T16:05:06.614238
30346625.0,blood,,,198,min,median,,,25th-75th percentile,155.0,239.0,9.0,maternal,delivery,,"during the delivery, one sample of maternal blood, umbilical vein blood, intervillous space blood, and amniotic fluid were collected from each patient at the time of latency",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,217,2025-12-02T16:05:06.614238
30346625.0,Umbilical vein blood,,,198,min,median,,,25th-75th percentile,155.0,239.0,9.0,pediatric,,fetus,"during the delivery, one sample of maternal blood, umbilical vein blood, intervillous space blood, and amniotic fluid were collected from each patient at the time of latency",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,218,2025-12-02T16:05:06.614238
30346625.0,intervillous space blood,,,198,min,median,,,25th-75th percentile,155.0,239.0,9.0,pediatric,,fetus,"during the delivery, one sample of maternal blood, umbilical vein blood, intervillous space blood, and amniotic fluid were collected from each patient at the time of latency",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,219,2025-12-02T16:05:06.614238
30346625.0,amniotic fluid,,,198,min,median,,,25th-75th percentile,155.0,239.0,9.0,maternal,delivery,,"during the delivery, one sample of maternal blood, umbilical vein blood, intervillous space blood, and amniotic fluid were collected from each patient at the time of latency",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary),Specimen_summary,220,2025-12-02T16:05:06.614238
30346625.0,blood,,,,,,,,,,,9.0,maternal,third trimester,,serial blood samples were collected from time 0 to 672 hours after administration of the drug,PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,216,2025-12-02T16:05:06.769793
30346625.0,blood,,,198,min,median,,,25th-75th percentile,155.0,239.0,9.0,maternal,delivery,,"during the delivery, one sample of maternal blood, umbilical vein blood, intervillous space blood, and amniotic fluid were collected from each patient at the time of latency",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,217,2025-12-02T16:05:06.769793
30346625.0,Umbilical vein blood,,,198,min,median,,,25th-75th percentile,155.0,239.0,9.0,pediatric,,fetus,"during the delivery, one sample of maternal blood, umbilical vein blood, intervillous space blood, and amniotic fluid were collected from each patient at the time of latency",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,218,2025-12-02T16:05:06.769793
30346625.0,intervillous space blood,,,198,min,median,,,25th-75th percentile,155.0,239.0,9.0,pediatric,,fetus,"during the delivery, one sample of maternal blood, umbilical vein blood, intervillous space blood, and amniotic fluid were collected from each patient at the time of latency",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,219,2025-12-02T16:05:06.769793
30346625.0,amniotic fluid,,,198,min,median,,,25th-75th percentile,155.0,239.0,9.0,maternal,delivery,,"during the delivery, one sample of maternal blood, umbilical vein blood, intervillous space blood, and amniotic fluid were collected from each patient at the time of latency",PRGLAC_PK_curation_051925.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,220,2025-12-02T16:05:06.769793
30346625.0,blood,,,,,,,,,,,9.0,maternal,third trimester,,serial blood samples were collected from time 0 to 672 hours after administration of the drug,PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,216,2025-12-02T16:05:11.297067
30346625.0,blood,,,198,min,median,,,25th-75th percentile,155.0,239.0,9.0,maternal,delivery,,"during the delivery, one sample of maternal blood, umbilical vein blood, intervillous space blood, and amniotic fluid were collected from each patient at the time of latency",PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,217,2025-12-02T16:05:11.297067
30346625.0,Umbilical vein blood,,,198,min,median,,,25th-75th percentile,155.0,239.0,9.0,pediatric,,fetus,"during the delivery, one sample of maternal blood, umbilical vein blood, intervillous space blood, and amniotic fluid were collected from each patient at the time of latency",PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,218,2025-12-02T16:05:11.297067
30346625.0,intervillous space blood,,,198,min,median,,,25th-75th percentile,155.0,239.0,9.0,pediatric,,fetus,"during the delivery, one sample of maternal blood, umbilical vein blood, intervillous space blood, and amniotic fluid were collected from each patient at the time of latency",PRGLAC_PK_curation_06232025.xlsx,PK curation_Shijun,Specimen (summary)_2,Specimen_summary,219,2025-12-02T16:05:11.297067
